,MJD,DM,DMError,Flux,FluxError,Width,PeakFrequency,PeakFrequencyError,BandWidth,BandWidthError,Fluence,FluenceError,Energy,RM,RMErrorLeft,RMErrorRight,Linear,LinearError,Circular,CircularError
873,59900.55806,219.88,0.08,218.1,2.2,5.67,1030.4,2.7,110.3,5.7,1.236,0.012,89.15,-1.7,0.3,0.3,100.1,0.8,1.2,0.6
874,59900.55806,221.79,0.1,905.7,9.1,4.88,1159.9,1.8,236.2,6.7,4.424,0.044,319.12,-1.3,0.1,0.1,97.7,0.2,8.1,0.2
875,59900.55806,220.83,0.08,189.8,1.9,1.89,1020.9,3.1,74.2,6.6,0.359,0.004,25.93,-4.7,1.2,1.1,100.4,1.9,2,1.3
876,59900.5582,221.37,1.48,42.4,0.4,1.81,1459,15.9,229.8,34.1,0.077,0.001,5.54,6.7,3.4,3.6,104.8,5.6,-3.9,3.8
877,59900.55837,222.56,0.33,305,3.1,10.49,1318.3,4.9,288.9,26.8,3.199,0.032,230.74,-0.9,0.2,0.1,99,0.4,5.6,0.3
878,59900.5586,222.05,0.29,39.7,0.4,2.34,1191.8,6.8,239.9,29.2,0.093,0.001,6.72,6.3,3.6,4,106,10,3.3,6.8
879,59900.55896,219.99,0.21,28.4,0.3,1.69,989.4,21.9,80.2,26,0.048,0,3.46,-16.9,30,29.6,81.2,15.3,-5.1,11.9
880,59900.5592,220.56,0.21,37.4,0.4,4.64,1023.9,3.5,54.6,8.5,0.173,0.002,12.52,-6.3,5.9,5.6,90.2,6.2,0.6,4.6
881,59900.5592,219.9,0.06,117.6,1.2,11.78,1045.4,5.6,223.5,12.4,1.385,0.014,99.93,-0.7,0.4,0.4,100.4,1.2,-6.3,0.8
882,59900.55935,220.66,0.09,486.1,4.9,6.79,1047.7,4.1,255.6,8.8,3.299,0.033,237.98,-0.5,0.1,0.1,98.2,0.4,6.1,0.3
883,59900.55945,220.28,0.17,31.2,0.3,5.09,1030.5,8.9,148.4,18.4,0.159,0.002,11.48,-1.1,4.8,4.7,81.8,6.5,8.5,5.1
884,59900.55957,221.04,3.57,36.4,0.4,6.12,1359.6,4.3,312.2,19.3,0.222,0.002,16.04,1.1,1.6,1.6,101.2,4.4,-2,3.1
885,59900.55957,220.33,0.15,260.9,2.7,12.77,1090,3.8,289.5,11.9,3.332,0.034,240.34,0.1,0.1,0.1,100.8,0.4,-6.2,0.3
886,59900.55979,223.26,0.27,458.6,4.7,12.11,1153.5,7.3,413,58,5.552,0.056,400.53,0.3,0.1,0.1,99.1,0.3,0.1,0.2
887,59900.55996,219.7,1.56,34.1,0.3,1.43,1494.8,15.7,109.3,24.9,0.049,0,3.52,-25.9,23.2,19.3,104.8,10.6,11,7.4
888,59900.56012,219.94,0.1,45,0.5,5.02,1007.4,5.7,94.3,8.9,0.226,0.002,16.31,3.9,2.6,2.5,96.3,3.7,-9.7,2.7
889,59900.56014,226.25,3.19,33,0.3,2.37,1348.3,5.5,187.9,17.5,0.078,0.001,5.66,12.5,3.9,4,109.7,8.5,-11.3,5.8
890,59900.56016,220.08,0.1,60.7,0.6,5.65,1002.2,5.3,111.4,7.9,0.343,0.003,24.75,-4.7,1.4,1.4,98.6,2.2,3.5,1.6
891,59900.56016,219.7,0.18,29.6,0.3,1.83,1015.4,3.3,48.8,7.5,0.054,0.001,3.92,-7.3,15.3,16.6,109.5,10.9,2.4,7.3
892,59900.56017,219.79,0.19,29.9,0.3,1.68,1016,6.5,68.5,13.1,0.05,0.001,3.62,-8.9,32.6,31.2,87.6,13.4,19.1,10.3
893,59900.56077,220.12,0.09,83.2,0.9,3.08,1031.8,3.7,132.4,7.9,0.256,0.003,18.49,-4.9,1.5,1.4,100.3,3.7,-9.5,2.6
894,59900.56104,220.63,4.36,45.7,0.5,3.08,1310.9,6,209.2,22.8,0.141,0.001,10.14,6.9,2,2,88.6,4.8,-8.7,3.6
895,59900.5611,224.46,1.39,207,2.1,14.29,1334.1,4.1,301,21.1,2.959,0.03,213.44,-0.3,0.2,0.2,100.8,0.5,-4.5,0.4
896,59900.5611,221.1,6.92,50.6,0.5,1.15,1269.7,6.9,228.1,31.9,0.058,0.001,4.21,3.1,7.3,7.3,136.3,16.5,8,9.8
897,59900.5611,221.46,0.08,66.5,0.7,6.61,1068.7,10.5,298.9,28.1,0.44,0.005,31.73,-0.3,0.8,0.8,111.3,3.1,-3.8,2.1
898,59900.56135,221.78,0.08,1383.6,14.2,4.99,1182.2,2.6,448.1,34.8,6.901,0.071,497.81,0.1,0,0,99.1,0.1,12.8,0.1
899,59900.56165,220.29,0.17,38.1,0.4,4.45,984.6,17.6,129,21.4,0.169,0.002,12.22,-0.5,4.3,4.3,106.4,6.5,-6.5,4.5
900,59900.56197,219.35,0.12,106.3,1.1,8.05,991.9,7.2,137.9,9.3,0.855,0.009,61.7,1.5,0.9,0.8,96.4,1.6,-9.8,1.1
901,59900.56209,222.46,0.77,175.6,1.8,8.49,1311.2,4.4,404.1,49.9,1.491,0.015,107.55,3.5,0.2,0.3,97.7,0.7,5.9,0.5
902,59900.56209,219.66,0.19,34,0.4,2.09,1014.3,12.1,115.8,21.3,0.071,0.001,5.13,-6.1,12.1,12.5,125.7,12.7,6.8,8
903,59900.56228,221.57,0.46,198.7,2.1,8.34,1268,3.2,303.6,29.5,1.658,0.017,119.59,1.1,0.2,0.2,99.2,0.6,3.5,0.4
904,59900.56274,221.39,0.1,566.8,5.9,3.86,1093.9,3,258.6,9.3,2.189,0.023,157.94,0.5,0.2,0.2,99.5,0.6,-11.4,0.4
905,59900.56274,222.49,0.89,27.6,0.3,1.56,1019.1,3.4,39.1,8.6,0.043,0,3.11,-11.7,11.7,11.8,140.8,18.8,-3.8,10.9
906,59900.5628,219.5,0.12,50.6,0.5,5.22,1000.7,7,118.1,10.3,0.264,0.003,19.07,2.5,2.5,2.6,99.3,4.2,7,3
907,59900.56282,219.59,0.14,42,0.4,4.82,990.8,11.8,103.8,14.4,0.202,0.002,14.61,-11.1,4.2,4.3,86.6,5,0.7,3.8
908,59900.56298,220.1,0.1,257.3,2.7,9.14,1269.1,3.1,328.5,33.3,2.351,0.024,169.6,0.3,0.2,0.2,100.5,0.5,-1.1,0.4
909,59900.5632,218.61,5.2,37.1,0.4,2.84,1530.2,38.9,254.1,48.4,0.105,0.001,7.58,11.3,9.4,9.5,103,5.9,-4,4.1
910,59900.56321,221.38,0.11,328.7,3.4,4.33,1095.1,3.5,251.1,10.9,1.424,0.015,102.71,-0.5,0.3,0.3,96.9,1,-3.6,0.7
911,59900.56329,219.74,0.1,62.3,0.7,4.35,1017.6,4.5,124.4,8.1,0.271,0.003,19.56,2.1,1.4,1.4,104.8,3.1,-18,2.2
912,59900.56406,225.35,1.25,115,1.2,7.17,1557.7,56.6,393.8,74.3,0.825,0.009,59.48,2.1,1,0.9,94,1.3,-5.7,1
913,59900.56425,220.26,0.09,38.6,0.4,4.19,997.4,11.1,128.8,15.6,0.161,0.002,11.64,1.9,3.2,3.2,89.9,4.5,-14.2,3.4
914,59900.56472,216.39,0.14,109.8,1.2,7.69,1006.6,5.2,140.2,7.9,0.845,0.009,60.95,-1.7,0.6,0.6,100.4,1.2,0,0.8
915,59900.56525,219.69,0.17,43.4,0.5,4.74,992.1,12.6,97.4,15.6,0.206,0.002,14.85,3.3,4.6,5,100.7,6.3,-7.6,4.5
916,59900.56525,219.49,0.19,79.9,0.8,3.97,1017.4,4.1,108.3,7.6,0.317,0.003,22.89,4.1,1.8,1.9,97.8,3.4,-10.8,2.4
917,59903.48685,220.12,0.09,140,1.7,5.73,1030.3,6.8,214.7,13.2,0.802,0.01,57.84,-0.5,0.5,0.5,98.6,1.4,-1.5,1
918,59903.48698,222.98,0.84,23.9,0.3,3.17,1396.3,12.2,214.8,38.7,0.076,0.001,5.48,10.5,9,9.4,83.6,10.3,25.6,8.1
919,59903.48698,219,0.26,32.5,0.4,3.56,981.1,19.3,107.8,20.6,0.116,0.001,8.35,-15.9,15.3,14.6,45.9,8.4,-2.8,7.6
920,59903.48709,219.81,0.09,46.7,0.6,2.11,996,6.3,78,7.5,0.098,0.001,7.1,-0.1,7.3,7.6,88.6,6.2,-5.1,4.6
921,59903.48721,221.31,0.24,695.2,8.5,9.5,1151.4,3.4,436.5,28.3,6.607,0.081,476.64,0.3,0.1,0.1,99.3,0.2,-9.8,0.2
922,59903.4877,220.14,4.57,23.1,0.3,1.43,1470.7,35,210.3,67.2,0.033,0,2.37,-36.1,18.7,18,84.4,16,-11.2,12.3
923,59903.48888,219.89,0.13,30.8,0.4,2.6,1004.9,5.1,78.8,8.1,0.08,0.001,5.77,6.9,7.9,8.5,77.4,8.4,-0.8,6.6
924,59903.48984,221.8,0.22,68.4,0.8,5.89,1165.4,3.7,210.1,12.8,0.403,0.005,29.05,-1.5,0.7,0.7,103.3,2.5,5.4,1.8
925,59903.48991,219.13,0.18,194.3,2.4,17.64,1014.6,3.4,176.6,5.8,3.427,0.042,247.19,-0.3,0.2,0.2,95.2,0.5,20.4,0.4
926,59903.49,218.47,0.29,554.8,6.7,13.56,1066.7,3.9,305.7,10.1,7.523,0.091,542.73,-0.5,0.1,0.1,99.7,0.2,9.1,0.1
927,59903.49009,222.25,1.39,67.3,0.8,6.75,1159.7,3.5,180.4,10.9,0.454,0.006,32.79,3.3,0.7,0.7,100.8,2.4,-14.6,1.7
928,59903.49044,219.33,4.15,42.8,0.5,3.69,1405.4,18.9,205.3,57.2,0.158,0.002,11.4,-13.3,11.2,9.7,90.2,14.7,36.9,11.6
929,59903.4906,221.59,0.37,45.2,0.5,4.21,1185.1,5.8,213,21.2,0.19,0.002,13.74,-0.5,1.3,1.3,92.1,4.1,22,3.1
